Reference Handle,Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Auntie Jummy's Candy & Snacks,New Quantity Auntie Jummy's Candy & Snacks,Stock Alert Enabled Auntie Jummy's Candy & Snacks,Stock Alert Count Auntie Jummy's Candy & Snacks
#cadbury-caramello-miniatures-milk-chocolate-and-caramel-candy-8-oz-regular,XXYKMHKOVA7V7IZR47PIU7HM,Cadbury Caramello Miniatures Milk Chocolate and Caramel Candy 8 oz,Regular,1688954,,Cookies > candy,Cookies > candy,,,,34000939343,visible,Physical good,,,,,,,,6.97,,N,,,,N,,,,,,
#cadbury-dairy-milk-fruit-nut-milk-chocolate-with-raisins-and-almonds-full-size-candy-bars-3-5oz-14-count--regular,NCUGYCSVSKUHXI5QCUMSTSFZ,Cadbury Dairy Milk Fruit & Nut Milk Chocolate with Raisins and Almonds Full Size Candy Bars 3.5Oz (14 Count),Regular,L845119,,Cookies > candy,Cookies > candy,,,,34000040292,,Physical good,,,,,,,,3.49,,N,,,,N,,,4,,,
#cadbury-milk-chocolate-and-creamy-caramel-candy-4-0oz-regular,5AMDT46NNJUDOJLE3DX6QWTR,Cadbury Milk Chocolate and Creamy Caramel Candy 4.0oz,Regular,K102052,,Cookies > candy,Cookies > candy,,,,34000040476,,Physical good,,,,,,,,3.49,,N,,,,N,,,3,,,
#canada-dry-caffeine-free-fruit-splash-cherry-ginger-ale-soda-pop-12-fl-oz-12-pack-cans-regular,ZYEAUTRFOE65HSPT3R3BWCIW,Canada Dry Caffeine Free Fruit Splash Cherry Ginger Ale Soda Pop  12 fl oz  12 Pack Cans,Regular,K603416,,,,,,,78000038835,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#canada-dry-cranberry-ginger-ale-12-fl-oz-cans-regular,WGTQTQAJWIDRPEZXWEXRKDMS,"Canada Dry Cranberry Ginger Ale, 12 Fl Oz Cans",Regular,E230526,,,,,,,78000156164,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#canada-dry-ginger-ale-soda-oz-cans-regular,MK6EO5SKQETUDIHIX5TZA4KJ,Canada Dry Ginger Ale Soda oz Cans,Regular,8232841,,,,,,,78000152166,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#candy-butterfinger-1-9oz-regular,X5JJMZBMHXVYBZRY7T4J4JFX,Candy Butterfinger 1.9oz,Regular,717494E,,Cookies > candy,Cookies > candy,,,,99900100873,,Physical good,,,,,,,,1.99,,N,,,,N,,,8,,,
#cellucor-c4-original-rtd-12x473ml-frozen-bombsicle-regular,7IX6NRZRTEBX7SDIDWTXWHQS,Cellucor C4 Original RTD 12x473ml Frozen Bombsicle,Regular,8899689,,Chips > Drinks,Chips > Drinks,,,,8.42595E+11,,Physical good,,,,N,N,N,N,2.99,,N,,N,,N,,,8,,,
#celsius-energy-drink-12-fl-oz-regular,EAQNH75GLGLSBU7R44BJ7ZBU,Celsius Energy Drink 12 Fl oz,Regular,8.89392E+11,,,,,,,8.89392E+11,,Physical good,,,,,,,,2.5,,N,,,,,,,8,,,
#celsius-energy-drink-retro-vibe-sparkling-sherbet-slush-regular,SAPS5XD7HFTRWVCB3ZG3T6LB,"Celsius Energy Drink, Retro Vibe Sparkling Sherbet Slush",Regular,830075N,,Chips > Drinks,Chips > Drinks,,,,8.89392E+11,,Physical good,,,,,,,,2.5,,N,,,,,,,6,,,
#celsius-zero-sugar-fitness-energy-drink-regular,5DVQL74L655XPQX2ELXNMJTE,Celsius Zero Sugar Fitness Energy Drink,Regular,8.89392E+11,,,,,,,8.89392E+11,,Physical good,,,,,,,,2.5,,N,,,,,,,2,,,
#charleston-chew-choc-vanilla-nougat-bar-vanilla-nougat-rectangle-3-5-oz-regular,QL3HKQ5CT7JXX44WPG5QKB6U,Charleston Chew Choc Vanilla Nougat Bar Vanilla Nougat Rectangle 3.5 oz,Regular,R953191,,Cookies > candy,Cookies > candy,,,,71720532935,,Physical good,,,,,,,,1.89,,N,,,,,,,2,,,
#charms-blow-pop-3-25oz-regular,MM3GBXMQWZHVQET6Y5NIFMWP,Charms Blow pop 3.25oz,Regular,H527332,assorted bubble gum filled pop,Cookies > candy,Cookies > candy,,,,14200204540,,Physical good,,,,,,,,1.99,,N,,,,,,,4,,,
#cheetos-2-6-oz-hot-jumbo-puffs-regular,OU6NVG6CDS4T4BDJ64UJ4DSM,Cheetos 2.6 oz Hot Jumbo Puffs,Regular,8982581,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-2-6-oz-hot-jumbo-puffs-1-regular,AXVXWFKPW563BCLBC5I27RVT,Cheetos 2.6 oz Hot Jumbo Puffs [195431w],Regular,195431W,,Chips,Chips,,,,28400769273,,Physical good,,,,,,,,2.69,,N,,,,,,,0,,,
#cheetos-2-75-oz-baked-flamin-hot-regular,5KS7NPF4HE7CDPIHNPPKHRZK,Cheetos 2.75 oz Baked Flamin Hot,Regular,K327179,,Chips,Chips,,,,28400769303,,Physical good,,,,,,,,2.69,,N,,,,,,,0,,,
#cheetos-3-25-oz-cheddar-jalapeno-regular,EAK6UU7L4CAJ2HH67KGFSGDT,Cheetos 3.25 oz Cheddar Jalapeno,Regular,L466211,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-3-25-oz-cheddar-jalapeno-1-regular,M7A2YYR7YX73BR6OCETKTXBI,Cheetos 3.25 oz Cheddar Jalapeno [8069706],Regular,8069706,,,,,,,28400769211,,Physical good,,,,,,,,2.69,,N,,,,,,,-1,,,
#cheetos-3-25-oz-flamin-hot-limon-regular,QJ3TOHJU2CA3PP5DEX4ZEBTR,Cheetos 3.25 oz Flamin Hot Limon,Regular,D879257,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-3-25-oz-flamin-hot-limon-1-regular,DE2ZCLZYMWYAKSVE4WNVCWK6,Cheetos 3.25 oz Flamin Hot Limon [28400769242],Regular,28400769242,,water > Snacks,water > Snacks,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-cheese-flavored-puffs-regular,G337ARSM2NM4MA6X5WM3RSJT,Cheetos Cheese Flavored Puffs,Regular,D266599,,Chips,Chips,,,,28400769266,,Physical good,,,,,,,,2.69,,N,,,,,,,-2,,,
#cheetos-cheese-flavored-puffs-1-regular,DAI76BFFAMCJPZ7H7IKBRCS7,Cheetos Cheese Flavored Puffs [j498900],Regular,J498900,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-cheese-pizza-flavored-snacks-regular,HY7HTD4UMVE7BIPU7ZSPMRKW,Cheetos Cheese Pizza Flavored Snacks,Regular,162850Y,,,,,,,,,Physical good,,,,,,,,5.89,,N,,,,,,,2,,,
#cheetos-cheese-snacks-crunchy-hot-regular,UZRI2OZUFZVH62JYQNJWUYHH,"Cheetos Cheese Snacks, Crunchy Hot",Regular,8780384,,Chips,Chips,,,,28400047913,,Physical good,,,,,,,,0.75,,N,,,,,,,0,,,
#cheetos-crunchy-cheese-flavored-snack-chips-oz-regular,Z7IW7WKDXCSBVUDVY75IQ7LU,Cheetos Crunchy Cheese Flavored Snack Chips oz,Regular,2476612,,,,,,,,,Physical good,,,,,,,,5.89,,N,,,,,,,2,,,
#cheetos-crunchy-cheese-flavored-snack-chips-oz-1-regular,TEHWPDKDM5J72OBJOVEBSJEL,Cheetos Crunchy Cheese Flavored Snack Chips oz [473908t],Regular,473908T,,,,,,,28400589864,,Physical good,,,,,,,,5.89,,N,,,,,,,-1,,,
#cheetos-crunchy-cheese-flavored-snacks-regular,3NXLSLQI342CNRD44TAWHETP,Cheetos Crunchy Cheese Flavored Snacks,Regular,758057P,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-crunchy-cheese-flavored-snacks-1-regular,PZ6OIKRFXBMIGRHYVC2C24EC,Cheetos Crunchy Cheese Flavored Snacks [709832w],Regular,709832W,,water > Snacks,water > Snacks,,,,28400768917,,Physical good,,,,,,,,2.69,,N,,,,,,,-1,,,
#cheetos-crunchy-flamin-hot-limon-cheese-flavored-snacks-2-ounce-plastic-bag-regular,MQCIMKQP5YJGI2ZX3DM4IFSI,Cheetos Crunchy Flamin Hot Limon Cheese Flavored Snacks 2 ounce plastic Bag,Regular,K919449,,,,,,,28400047920,,Physical good,,,,,,,,0.75,,N,,,,,,,0,,,
#cheetos-crunchy-flamin-hot-cheese-flavored-snacks-regular,IVYB4ABZ3NDK7HIHHO7E6JTH,Cheetos Crunchy Flamin' Hot Cheese Flavored Snacks,Regular,468931T,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-crunchy-flamin-hot-cheese-flavored-snacks-1-regular,YEENTZ7ZQPSPWGYXZBXB6CQK,Cheetos Crunchy Flamin' Hot Cheese Flavored Snacks [929583g],Regular,929583G,,water > Snacks,water > Snacks,,,,28400769228,,Physical good,,,,,,,,2.69,,N,,,,,,,1,,,
#cheetos-crunchy-flamin-hot-limo-n-cheese-flavored-snacks-regular,HHXLAHZEZ4NBJ2CZ4DMOPPRK,Cheetos Crunchy Flamin' Hot Limón Cheese Flavored Snacks,Regular,F954269,,,,,,,,,Physical good,,,,,,,,5.89,,N,,,,N,,,2,,,
#cheetos-crunchy-xxtra-flamin-hot-chips-regular,KQPZN2SVVXFLISF4YONTR57H,Cheetos Crunchy Xxtra Flamin' Hot Chips,Regular,M416072,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#cheetos-crunchy-xxtra-flamin-hot-chips2-7-8oz-regular,ONNTYPBOMIWH66AQJOD6ZC6J,Cheetos Crunchy Xxtra Flamin' Hot Chips2 .7.8oz,Regular,9994725,,water > Snacks,water > Snacks,,,,28400769204,,Physical good,,,,,,,,2.69,,N,,,,,,,1,,,
#cheez-it-cheese-crackers-baked-snack-crackers-office-and-kids-snacks-original-regular,46JERV4O6CALQKJBE34NVYCX,"Cheez-It Cheese Crackers, Baked Snack Crackers, Office and Kids Snacks, Original",Regular,949624Q,,water > Snacks,water > Snacks,,,,24100705665,visible,Physical good,,,,,,,,4.49,,N,,,,N,,,20,,,
#cheez-it-snap-d-cheese-cracker-chips-thin-crisps-lunch-snacks-double-cheese-regular,ZFS55YTQIIUUZ76ZDAAHGYVY,"Cheez-it Snap'd Cheese Cracker Chips, Thin Crisps, Lunch Snacks, Double Cheese",Regular,F003022,,,,,,,24100114412,visible,Physical good,,,,,,,,3.2,,N,,,,N,,,5,,,
#cherry-vanilla-ice-cream-regular,LMENV2JFAKYPHBEV37E4KJ7F,Cherry Vanilla Ice Cream,Regular,74570534005,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,2,,,
#chester-s-flamin-hot-fries-1-3-4oz-regular,NFLGIOOXT2UJHSURPPTKSNPB,Chester's Flamin' Hot Fries 1 3/4oz,Regular,28400069298,,Chips,Chips,,,,28400043014,,Physical good,,,,,,,,0.75,,N,,,,,,,6,,,
#chester-s-flamin-hot-fries-corn-potato-snacks-regular,5CGFI46752TAXACVVIFVG2FL,Chester's Flamin' Hot Fries Corn & Potato Snacks,Regular,923515D,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#chester-s-potato-crisps-honey-bbq-regular,MNC4PO4IBTZ6M63GRILWQEQP,Chester’s Potato Crisps Honey BBQ,Regular,H423441,,water > Snacks,water > Snacks,,,,28400767217,,Physical good,,,,,,,,2.99,,N,,,,,,,-1,,,
#chester-s-potato-crisps-honey-bbq-1-regular,RI4LWTBBSCJGZKWEPI2RWIJP,Chester’s Potato Crisps Honey BBQ [1142421],Regular,1142421,,,,,,,,,Physical good,,,,,,,,2.99,,N,,,,,,,1,,,
#chilled-coffee-drink-13-7-oz-regular,JRTI4TJM3V7BHEJBXDAIQCR7,Chilled Coffee Drink 13.7 oz,Regular,8852921,,Chips > Drinks,Chips > Drinks,,,,12000813313,,Physical good,,,,,,,,3.65,,N,,,,,,,12,,,
#chips-ahoy-fresh-stacks-cookies-regular,N37VIW33GURHZV5GBKLPUL62,Chips Ahoy! Fresh Stacks Cookies,Regular,9462133,,,,,,,44000081935,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#chips-ahoy-fresh-stacks-cookies-1-regular,SEMNBTZBQJH73SCRUWH2NFDT,Chips Ahoy! Fresh Stacks Cookies [826749j],Regular,826749J,,,,,,,44000081928,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#chips-ahoy-original-chocolate-chip-cookies-family-size-regular,YO2DQLL74AIQZW566TZRK477,"Chips Ahoy! Original Chocolate Chip Cookies, Family Size",Regular,B699543,,Cookies,Cookies,,,,44000033385,,Physical good,,,,,,,,6.5,,N,,,,N,,,6,,,
#chirardelli-chocolate-intense-dark-72-cacao-dark-chocolate-regular,DTZWODT5VOQ6Y25PJWPJBEU4,Chirardelli Chocolate Intense Dark 72% Cacao Dark Chocolate,Regular,7.47599E+11,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,10,,,
#chirardelli-chocolate-squares-dark-chocolate-mint-5-32oz-regular,RC4FKZLKRF2DKM673FAJ5RZT,Chirardelli Chocolate Squares Dark Chocolate Mint 5.32oz,Regular,7.47599E+11,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,5,,,
#chirardelli-chocolate-squares-milk-chocolateassortment-regular,3C52BRJUNZAKOGYWCI754N3C,Chirardelli Chocolate Squares Milk ChocolateAssortment,Regular,7.47599E+11,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,10,,,
#chocolate-ice-cream-regular,ABZMMFOJBK2FD2FMTXNZ523M,Chocolate Ice Cream,Regular,8465206,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,0,,,
#chocolate-ice-cream-1-regular,SQAECDHHYTUAZKBL6MYL2HLV,Chocolate Ice Cream [d047877],Regular,D047877,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,0,,,
#chocolate-and-caramel-candy-regular,6TPPP6CPVRQUVOD6SI33WJEZ,Chocolate and Caramel Candy,Regular,5854637,,Cookies > candy,Cookies > candy,,,,10700021526,,Physical good,,,,,,,,1.89,,N,,,,,,,32,,,
#chocolate-and-caramel-candy-1-regular,ZRBHH432G64PV5AWVUXFGA3U,Chocolate and Caramel Candy [414318h],Regular,414318H,,Cookies > candy,Cookies > candy,,,,,,Physical good,,,,,,,,1.99,,N,,,,,,,4,,,
#chocovia-red-strawberry-regular,2AU4XX23WBZCSO2LHH7V2P7Z,Chocovia Red Strawberry,Regular,G047261,,Candy,Candy,,,,55520203301,,Physical good,,,,,,Y,Y,6.99,,N,,,,,,,4,,,
#club-crackers-snack-crackers-party-snacks-original-regular,W7YMTMHS43RPXQMHDDG5UZEV,"Club Crackers, Snack Crackers, Party Snacks, Original",Regular,5659399,,Crackers,Crackers,,,,30100100577,,Physical good,,,,,,,,4,,N,,,,N,,,1,,,
#coca-cola-cherry-coke-regular,XWGXJ4REM3RGZJV73SOTQH52,Coca Cola Cherry Coke,Regular,2015307,,Chips > Drinks,Chips > Drinks,,,,49000018011,,Physical good,,,,,,Y,Y,2.5,,N,,,,,,,-2,,,
#coca-cola-sprite-spiced-cranberry-regular,K3VR4RBHIYHLEBYBG7KQRPQQ,"Coca Cola, Sprite Spiced Cranberry",Regular,875729Z,,Chips > Drinks,Chips > Drinks,,,,49000081169,,Physical good,,,,,,Y,Y,2.5,,N,,,,,,,0,,,
#coca-cola-bottle-orange-cream-regular,2YRIFGU3DWWVHO6XNGGYLHUX,Coca-Cola Bottle Orange Cream,Regular,T764938,,Chips > Drinks,Chips > Drinks,,,,49000558753,,Physical good,,,,,,Y,Y,2.5,,N,,,,,,,0,,,
#coca-cola-caffeine-free-soda-soft-drink-regular,A6RQIRF2PPVODUADTKS2EUIL,Coca-Cola Caffeine Free Soda Soft Drink,Regular,539488J,,Chips > Drinks,Chips > Drinks,,,,49000029338,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#coca-cola-caffeine-free-zero-sugar-soda-12-fl-oz--regular,QTPKXHOU7JJWA6L3NADJQ4EJ,"Coca-Cola Caffeine-Free Zero Sugar Soda, 12 Fl. Oz.",Regular,C972371,,Chips > Drinks,Chips > Drinks,,,,49000060904,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#coca-cola-cherry-bottles-16-9-fl-oz-regular,HUENRODXRJBFI56LYZEDQWQP,"Coca-Cola Cherry Bottles, 16.9 fl Oz",Regular,348455N,,Chips > Drinks,Chips > Drinks,,,,49000075960,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#coca-cola-cherry-flavored-soda-12-fl-oz--regular,ZU6Y2DCMPNFWSESXBVKKKY3N,"Coca-Cola Cherry Flavored Soda, 12 Fl. Oz.",Regular,6522064,,Chips > Drinks,Chips > Drinks,,,,49000031034,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#coca-cola-coke-cherry-zero-sugar-soda-20oz-regular,NGIFDMPKTRD6PE2UYK3BCIFF,Coca-Cola Coke Cherry Zero Sugar Soda 20oz,Regular,1053549,,Chips > Drinks,Chips > Drinks,,,,,,Physical good,,,,,,,,2.5,,N,,,,,,,24,,,
#coca-cola-soda-orange-cream-regular,BBS262WBBQMLQFXOXALOHJIU,Coca-Cola Soda Orange Cream,Regular,4918544,,Chips > Drinks,Chips > Drinks,,,,49000558845,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#coca-cola-soda-vanilla-12-fl-oz-regular,4JWRFQBQG6CMVBML6YEZRJMC,"Coca-Cola Soda, Vanilla, 12 Fl Oz",Regular,A361148,,Chips > Drinks,Chips > Drinks,,,,49000031249,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#coca-cola-zero-cherry-flavored-soda-12-fl-oz-regular,WPK46OW2L4ZEC2T5W4WVAGQK,"Coca-Cola Zero Cherry Flavored Soda, 12 Fl Oz",Regular,8882092,,Chips > Drinks,Chips > Drinks,,,,49000047516,visible,Physical good,,,,,,,,9.99,,N,,,,N,,,,,,
#coca-cola-zero-sugar-soda-orange-cream-regular,FUHCAL26BM7X7YIPHZYJDR2A,Coca-Cola Zero Sugar Soda Orange Cream,Regular,L017480,,Chips > Drinks,Chips > Drinks,,,,49000558838,visible,Physical good,,,,,,,,2.5,,N,,,,N,,,,,,
#coca-cola-soda-soft-drink-regular,CC4NVAAWPX5PSQ5AV76EQBXY,"Coca-Cola, Soda Soft Drink",Regular,B870756,,Chips > Drinks,Chips > Drinks,,,,49000024685,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#coke-regular,XXS2TOOZ5RYYVLX3BPY3WNUF,Coke,Regular,A526303,,Chips > Drinks,Chips > Drinks,,,,,,Physical good,,,,,,,,2.5,,N,,,,N,,,120,,,
#coke-diet-20oz-regular,IACJYV7FFR6HNPOPC5M43P5T,Coke Diet 20oz,Regular,7225548,,Chips > Drinks,Chips > Drinks,,,,4904500,,Physical good,,,,,,,,2.5,,N,,,,,,,23,,,
#coke-original-20oz-regular,R3K4KJPPI2AACTW64G5G6GW6,Coke Original 20oz,Regular,647581Y,,Chips > Drinks,Chips > Drinks,,,,,,Physical good,,,,,,,,2.5,,N,,,,,,,24,,,
#coke-zero-bottle-orange-cream-regular,VR53SRHWBMV2XXM4YQW7ZSLB,Coke Zero Bottle Orange Cream,Regular,304882P,,Chips > Drinks,Chips > Drinks,,,,49000558739,,Physical good,,,,,,,,2.5,,N,,,,,,,-1,,,
#coke-zero-bottle-orange-cream-20oz-regular,EP6KAYSDTZAOQIFD4J5WBU4Y,Coke Zero Bottle Orange Cream 20oz,Regular,221032Q,,Chips > Drinks,Chips > Drinks,,,,,,Physical good,,,,,,,,2.5,,N,,,,,,,24,,,
#cookies-cream-ice-cream-regular,CE3IU5O344W2DFYF7OLR64CH,Cookies & Cream Ice Cream,Regular,74570274000,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,8,,,
#cookies-cream-ice-cream-1-regular,5RFNAILYB4FAGEEFA2ZRD4IO,Cookies & Cream Ice Cream [e138145],Regular,E138145,,,,,,,,,Physical good,,,,,,,,6.99,,N,,,,,,,10,,,
#core-hydration-nutrient-enhanced-water-with-sports-cap-regular,RFIBVHALPY24OVIV3CS33CV3,"Core Hydration, Nutrient Enhanced Water with Sports Cap",Regular,448158L,,water,water,,,,8.53004E+11,,Physical good,,,,,,,,2.25,,N,,,,,,,12,,,
#cosmic-brownies-with-chocolate-chip-candy-regular,K75P4VQQKTQTEOWJG3BKRORT,Cosmic Brownies with Chocolate Chip Candy,Regular,268085D,,water > Snacks,water > Snacks,,,,24300043314,visible,Physical good,,,,,,,,3.15,,N,,,,N,,,5,,,
#cosmic-snacks-cookies-with-caramel-and-crisp-rice-regular,PC5JXHXJ2X353UIK4J64PJYZ,Cosmic Snacks Cookies with Caramel and Crisp Rice,Regular,520926V,,water > Snacks,water > Snacks,,,,24300041143,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#creamy-coconut-fruit-and-dairy-bars-regular,MNUB3XAVPZY4C6YPYSFHOHYY,Creamy Coconut Fruit and Dairy Bars,Regular,X681454,,Ice cream,Ice cream,,,,41548792453,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#creamy-mints-in-pure-chocolate-regular,45GD2X3TIOLRBU2IY6VIVBKT,Creamy Mints in Pure Chocolate,Regular,3539157,,Cookies > candy,Cookies > candy,,,,71720539446,,Physical good,,,,,,,,1.89,,N,,,,,,,2,,,
#creme-pies-peanut-butter-filled-cookies-regular,TYHKJJ4O5ZKB7NXDBF45JNTE,Creme Pies Peanut Butter Filled Cookies,Regular,132169L,,water > Snacks,water > Snacks,,,,24300043109,visible,Physical good,,,,,,,,5,,N,,,,N,,,4,,,
#creme-de-menthe-thins-regular,DN2CCP2M3TJTLL32H5UGPFOK,Creme de Menthe Thins,Regular,41186172150,,,,,,,,,Physical good,,,,,,,,4.99,,N,,,,,,,4,,,
#crispety-crunchety-regular,QMKJ4PDDOSBV7VDMSDF75WH2,"Crispety, Crunchety",Regular,840513R,,water > Snacks,water > Snacks,,,,99900100255,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#crispety-crunchety-7-8pz-regular,LBHQSRTPCJVVQL2ZSKOG3CAD,"Crispety, Crunchety 7.8pz",Regular,P427531,,,,,,,99900100194,visible,Physical good,,,,N,N,N,N,4,,N,,N,,N,,,,,,
#crunch-chocolate-bar-single-milk-chocolate-with-crisped-rice-regular,OCDPPRJAL3XNXREYA4U4Q3MJ,Crunch Chocolate Bar Single Milk Chocolate with Crisped Rice,Regular,5690000,,,,,,,99900908363,,Physical good,,,,,,Y,Y,1.89,,N,,,,,,,-2,,,
#crunch-chocolate-bar-single-milk-chocolate-with-crisped-rice-1-regular,KGXS3L55TMZAG4PW6HAJXD2V,Crunch Chocolate Bar Single Milk Chocolate with Crisped Rice [q197930],Regular,Q197930,,water > Snacks,water > Snacks,,,,,,Physical good,,,,,,,,1.99,,N,,,,N,,,42,,,
#crush-orange-soda-regular,Q3EXGBW3RKIJB5MOSO7SOOT3,Crush Orange Soda,Regular,3533264,,,,,,,78000013252,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#demet-s-turtles-nut-cluster-regular,EOGNHV5PYRNBH57S3JWWNQYR,"Demet's, Turtles, Nut Cluster",Regular,H041481,,Cookies > candy,Cookies > candy,,,,8.72181E+11,,Physical good,,,,,,Y,Y,13.99,,N,,,,,,,1,,,
#diet-coke-bottles-16-9-fl-oz-regular,SDYCN47CMHQM7URLTLZSZRKZ,"Diet Coke Bottles, 16.9 Fl Oz",Regular,9965977,,,,,,,49000024692,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#diet-dr-pepper-regular,PIW2YHQQYVUDKSIA6J3UNSIQ,Diet Dr Pepper,Regular,1169794,,,,,,,78000003888,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#diet-pepsi-regular,OO3WRI764VDJPOVLXCLNFDES,Diet Pepsi,Regular,6218534,,Chips > Drinks,Chips > Drinks,,,,,,Physical good,,,,,,,,2.5,,N,,,,N,,,24,,,
#diet-pepsi-1-regular,WIYAPU2T44ZXNWESM2R46SF6,Diet Pepsi [6890111],Regular,6890111,,,,,,,12000171741,,Physical good,,,,,,,,2.5,,N,,,,,,,-1,,,
#dipped-reese-s-graham-bears-regular,OEIV5MR767BMZDB76PFDPJPC,Dipped  Reese's Graham Bears,Regular,609525C,,,,,,,34000460458,,Physical good,,,,,,Y,Y,13.99,,N,,,,,,,2,,,
#doritos-2-75-oz-flama-regular,QX3GQL4IH35LRZ5VUZUNDMB7,Doritos 2.75 oz Flama,Regular,K164989,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#doritos-2-75-oz-flama-1-regular,DDBEXXOAXI7SYPYNO5UL2H3N,Doritos 2.75 oz Flama [723080j],Regular,723080J,,Chips,Chips,,,,28400770637,,Physical good,,,,,,,,2.69,,N,,,,,,,-1,,,
#doritos-2-75-oz-flamin-hot-nacho-regular,MX3ZCSTO7VPEV6EXAJTK4KYO,Doritos 2.75 oz Flamin Hot Nacho,Regular,2701077,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#doritos-2-75-oz-spicy-nacho-regular,XCHRZL4R3JUJX4DGG6X2YIDD,Doritos 2.75 oz Spicy Nacho,Regular,1425606,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#doritos-4-oz-dinamita-chili-limon-regular,7CAOMEH5USOT5M6ZGDSWG5HF,Doritos 4 oz Dinamita Chili Limon,Regular,664635A,,Chips,Chips,,,,28400770644,,Physical good,,,,,,,,2.69,,N,,,,,,,0,,,
#doritos-4-oz-dinamita-chili-limon-1-regular,DRCBFOPX45S6SMNMKNFQ7CQ6,Doritos 4 oz Dinamita Chili Limon [t491761],Regular,T491761,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#doritos-cool-ranch-flavor-tortilla-chips-regular,XTIXHWE4TOTSDBDWJCE2552O,Doritos Cool Ranch Flavor Tortilla Chips,Regular,7406668,,Chips,Chips,,,,28400770569,,Physical good,,,,,,,,2.69,,N,,,,,,,0,,,
#doritos-cool-ranch-flavor-tortilla-chips-1-regular,NRQ2DPHPFJU6H3D2WRLQ363W,Doritos Cool Ranch Flavor Tortilla Chips [3240059],Regular,3240059,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#doritos-flavored-tortilla-chips-nacho-cheese-regular,KM3WZNQGJVDTLMUODVXLQ7BI,"Doritos Flavored Tortilla Chips, Nacho Cheese",Regular,3350948,,Chips,Chips,,,,28400770590,,Physical good,,,,,,,,2.69,,N,,,,,,,0,,,
#doritos-flavored-tortilla-chips-nacho-cheese-1-regular,HNZTHNYC3OXGVTG3D6J6YUSX,"Doritos Flavored Tortilla Chips, Nacho Cheese [t960066]",Regular,T960066,,,,,,,,,Physical good,,,,,,,,2.69,,N,,,,,,,4,,,
#doritos-spicy-nacho-flavored-tortilla-chips-regular,ODQCM37SRA5TWPAWH57SOL4N,Doritos Spicy Nacho Flavored Tortilla Chips,Regular,183897C,,,,,,,,,Physical good,,,,,,,,6.29,,N,,,,,,,2,,,
